owners,fraction,mechanism,side,slope,offset,heldout_gain,principal_value_change
[0],0.25,coupled_winner,0,1,0.3,1.0063813333333333,-0.045982536000000004
[0],0.25,coupled_winner,0.25,1,0.4,1.254012,-0.048127688
[0],0.25,coupled_winner,1,1,0.4,1.9890120000000002,-0.048127688
[0],0.25,coupled_winner,4,2,0.2,4.914469333333333,-0.051426469333333336
[0],0.25,coupled_audit,0,1,0.3,0.31361333333333324,-0.045982536000000004
[0],0.25,coupled_audit,0.25,1,0.3,0.5402799999999999,-0.045982536000000004
[0],0.25,coupled_audit,1,1,0.4,1.2437066666666667,-0.048127688
[0],0.25,coupled_audit,4,2,0.2,4.155847333333334,-0.051426469333333336
[0],0.25,separated_audit,0,0,0.3,0.0007113333333333497,0.0
[0],0.25,separated_audit,0.25,1,0.3,0.0869466666666666,-0.045982536000000004
[0],0.25,separated_audit,1,1,0.3,0.7669466666666666,-0.045982536000000004
[0],0.25,separated_audit,4,2,0.2,3.6558473333333334,-0.051426469333333336
[1],0.25,coupled_winner,0,1,0.4,0.6398366666666666,-0.04862111
[1],0.25,coupled_winner,0.25,1,0.4,0.8215033333333334,-0.04862111
[1],0.25,coupled_winner,1,1,0.4,1.3665033333333334,-0.04862111
[1],0.25,coupled_winner,4,1.5,0.4,3.5660255,-0.048540363333333336
[1],0.25,coupled_audit,0,1,0.2,0.13589333333333337,-0.03520629333333333
[1],0.25,coupled_audit,0.25,1,0.2,0.26256,-0.03520629333333333
[1],0.25,coupled_audit,1,1,0.4,0.8339059999999999,-0.04862111
[1],0.25,coupled_audit,4,1,0.4,3.013906,-0.04862111
[1],0.25,separated_audit,0,1,-0.3,0.02672000000000001,0.00486668
[1],0.25,separated_audit,0.25,1.5,-0.4,-0.0032499999999999634,-0.00036018999999999965
[1],0.25,separated_audit,1,1,0.2,0.38922666666666667,-0.03520629333333333
[1],0.25,separated_audit,4,1,0.4,2.6505726666666667,-0.04862111
