mechanism,worker_id,task_id,cluster_id,family,offset,baseline_payoff,deviation_payoff,deviation_gain,selection_change,principal_value_change
coupled_winner,openai_small,2hop__511176_22458,2hop__511176_22458,musique,0.25,0.0,1.4375,1.4375,1,0.2554608
coupled_winner,openai_small,2hop__104095_40502,2hop__104095_40502,musique,0.25,0.0,1.01,1.01,1,0.0086454
coupled_winner,openai_small,2hop__2299_1783,2hop__2299_1783,musique,0.25,0.0,1.2975,1.2975,1,0.0013102000000000114
coupled_winner,openai_small,2hop__61714_80069,2hop__61714_80069,musique,0.25,0.0,1.1875,1.1875,1,0.0026067999999999925
coupled_winner,openai_small,3hop1__106042_64399_53006,3hop1__106042_64399_53006,musique,0.25,0.0,1.4271,1.4271,1,0.012556600000000029
coupled_winner,openai_small,3hop1__9285_5188_23307,3hop1__9285_5188_23307,musique,0.25,0.0,0.9375,0.9375,1,0.008790200000000001
coupled_winner,openai_small,3hop1__92788_648104_13493,3hop1__92788_648104_13493,musique,0.25,0.0,0.9375,0.9375,1,0.0024120999999999995
coupled_winner,openai_small,2hop__367336_97805,2hop__367336_97805,musique,0.25,0.0,1.3775,1.3775,1,0.002057200000000009
coupled_winner,openai_small,3hop1__622497_160088_73916,3hop1__622497_160088_73916,musique,0.25,0.0,1.1875,1.1875,1,-0.11751580000000002
coupled_winner,openai_small,3hop1__796649_720914_27537,3hop1__796649_720914_27537,musique,0.25,0.0,1.01,1.01,1,-0.24191079999999998
coupled_winner,openai_small,2hop__66167_90991,2hop__66167_90991,musique,0.25,0.0,0.9375,0.9375,1,-0.2322132
coupled_winner,openai_small,2hop__6745_6731,2hop__6745_6731,musique,0.25,1.25,0.9375,-0.3125,0,0.0
coupled_winner,openai_small,2hop__50068_494136,2hop__50068_494136,musique,0.25,0.0,0.9375,0.9375,1,-0.241707
coupled_winner,openai_small,2hop__347652_47134,2hop__347652_47134,musique,0.25,0.0,1.4375,1.4375,1,0.001486199999999993
coupled_winner,openai_small,2hop__450600_158262,2hop__450600_158262,musique,0.25,0.0,1.4375,1.4375,1,0.006902400000000003
coupled_winner,openai_small,2hop__354635_174222,2hop__354635_174222,musique,0.25,0.0,1.1975,1.1975,1,0.0022718
coupled_winner,openai_small,2hop__519160_78303,2hop__519160_78303,musique,0.25,0.0,0.9375,0.9375,1,-0.11717820000000001
coupled_winner,openai_small,2hop__56851_343058,2hop__56851_343058,musique,0.25,0.0,0.9375,0.9375,1,-0.24072280000000001
coupled_winner,openai_small,3hop1__157177_625046_613900,3hop1__157177_625046_613900,musique,0.25,0.0,0.9375,0.9375,1,0.0016198000000000002
coupled_winner,openai_small,2hop__176712_8311,2hop__176712_8311,musique,0.25,0.0,1.4375,1.4375,1,0.251698
coupled_winner,openai_small,2hop__94629_1110,2hop__94629_1110,musique,0.25,0.0,1.4375,1.4375,1,0.008561199999999991
coupled_winner,openai_small,2hop__53147_7298,2hop__53147_7298,musique,0.25,0.0,0.9375,0.9375,1,-0.11811479999999999
coupled_winner,openai_small,2hop__695432_18803,2hop__695432_18803,musique,0.25,0.0,0.9375,0.9375,1,0.0017966999999999998
coupled_winner,openai_small,2hop__370911_589237,2hop__370911_589237,musique,0.25,1.25,0.9375,-0.3125,0,0.0
coupled_winner,openai_small,3hop1__398232_326948_10972,3hop1__398232_326948_10972,musique,0.25,0.0,0.9375,0.9375,1,0.0020339999999999994
coupled_winner,openai_small,3hop1__64694_34179_23375,3hop1__64694_34179_23375,musique,0.25,1.25,1.4375,0.1875,0,0.0
coupled_winner,openai_small,2hop__79875_84469,2hop__79875_84469,musique,0.25,0.0,1.41,1.41,1,0.0024606000000000072
coupled_winner,openai_small,4hop2__161602_426860_88460_21074,4hop2__161602_426860_88460_21074,musique,0.25,0.0,1.3775,1.3775,1,0.2767668
