budget,policy,rate,net_value,success,cost,forecast_cost,audit_cost,audits,abstentions,budget_violations
0.1,cheapest,0,0.09064914666666667,0.36666666666666664,0.00101752,0.0,0.0,0,0,0
0.1,premium,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.1,static,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.1,explore,0,0.12162689066666668,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
0.1,equal,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.1,selected,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.1,calms,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.1,calms,0.005,0.088626952,0.4066666666666667,0.013039714666666667,0.010984170666666666,6.42e-05,2,0,0
0.1,calms,0.01,0.088626952,0.4066666666666667,0.013039714666666667,0.010984170666666666,6.42e-05,2,0,0
0.1,calms,0.02,0.08846322799999999,0.4066666666666667,0.013203438666666668,0.010984170666666666,0.000227924,9,0,0
0.1,calms,0.05,0.08803151733333334,0.4066666666666667,0.013635149333333334,0.010984170666666666,0.0006596346666666666,26,0,0
0.1,calms,0.1,0.08726338,0.4066666666666667,0.014403286666666668,0.010984170666666666,0.001427772,58,0,0
0.2,cheapest,0,0.09064914666666667,0.36666666666666664,0.00101752,0.0,0.0,0,0,0
0.2,premium,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.2,static,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.2,explore,0,0.12162689066666668,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
0.2,equal,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.2,selected,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.2,calms,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.2,calms,0.005,0.144046696,0.66,0.020953304,0.010984170666666666,6.42e-05,2,0,0
0.2,calms,0.01,0.143882972,0.66,0.021117028,0.010984170666666666,0.000227924,9,0,0
0.2,calms,0.02,0.14366189866666665,0.66,0.02133810133333333,0.010984170666666666,0.0004489973333333333,20,0,0
0.2,calms,0.05,0.142683124,0.66,0.022316876,0.010984170666666666,0.001427772,58,0,0
0.2,calms,0.1,0.14141832266666665,0.66,0.023581677333333332,0.010984170666666666,0.0026925733333333333,96,0,0
0.4,cheapest,0,0.09064914666666667,0.36666666666666664,0.00101752,0.0,0.0,0,0,0
0.4,premium,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.4,static,0,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.4,explore,0,0.12162689066666668,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
0.4,equal,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.4,selected,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.4,calms,0,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.4,calms,0.005,0.143882972,0.66,0.021117028,0.010984170666666666,0.000227924,9,0,0
0.4,calms,0.01,0.14366189866666665,0.66,0.02133810133333333,0.010984170666666666,0.0004489973333333333,20,0,0
0.4,calms,0.02,0.14299622533333334,0.66,0.022003774666666667,0.010984170666666666,0.0011146706666666666,45,0,0
0.4,calms,0.05,0.14141832266666665,0.66,0.023581677333333332,0.010984170666666666,0.0026925733333333333,96,0,0
0.4,calms,0.1,0.139832388,0.66,0.025167612000000002,0.010984170666666666,0.004278508,150,0,0
