policy,rate,net_value,success,cost,forecast_cost,audit_cost,audits,abstentions,budget_violations
cheapest,0,0.08651510666666667,0.35,0.0009848933333333333,0.0,0.0,0,0,0
premium,0,0.13695603333333334,0.5833333333333334,0.008877300000000001,0.0,0.0,0,0,0
static,0,0.13695603333333334,0.5833333333333334,0.008877300000000001,0.0,0.0,0,0,0
explore,0,0.09580844333333333,0.4,0.004191556666666666,0.0,0.0,0,0,0
equal,0,0.12626020333333335,0.5833333333333334,0.01957313,0.01069583,0.0,0,0,0
selected,0,0.12626020333333335,0.5833333333333334,0.01957313,0.01069583,0.0,0,0,0
calms,0,0.12626020333333335,0.5833333333333334,0.01957313,0.01069583,0.0,0,0,0
calms,0.005,0.12619123,0.5833333333333334,0.019642103333333334,0.01069583,6.897333333333334e-05,2,0,0
calms,0.01,0.12613291333333335,0.5833333333333334,0.01970042,0.01069583,0.00012729,3,0,0
calms,0.02,0.12586331333333334,0.5833333333333334,0.019970019999999998,0.01069583,0.00039688999999999995,5,0,0
calms,0.05,0.12506628333333333,0.5833333333333334,0.020767050000000002,0.01069583,0.00119392,13,0,0
calms,0.1,0.12344626666666667,0.5833333333333334,0.022387066666666667,0.01069583,0.0028139366666666667,36,0,0
