stream,step,task_id,arm,labels_before,full_brier_before,label_revealed,fixed_selected,note
0,0,2hop__511176_22458,random_candidate,0,0.34123611111111113,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,0,2hop__511176_22458,selected_candidate,0,0.34123611111111113,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,1,2hop__104095_40502,random_candidate,1,0.2987963479374425,0,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,1,2hop__104095_40502,selected_candidate,1,0.2942510400631729,0,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,2,2hop__2299_1783,random_candidate,1,0.24879816664257554,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,2,2hop__2299_1783,selected_candidate,1,0.2344002749322856,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,3,2hop__61714_80069,random_candidate,2,0.383617988787898,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,3,2hop__61714_80069,selected_candidate,2,0.3797406810962176,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,4,3hop1__106042_64399_53006,random_candidate,3,0.2027090124626949,0,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,4,3hop1__106042_64399_53006,selected_candidate,3,0.20676287334694063,0,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,5,3hop1__9285_5188_23307,random_candidate,3,0.2518737407463861,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,5,3hop1__9285_5188_23307,selected_candidate,3,0.23492626431112174,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,6,3hop1__92788_648104_13493,random_candidate,4,0.41150112694647717,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,6,3hop1__92788_648104_13493,selected_candidate,4,0.40454307214774365,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,7,2hop__367336_97805,random_candidate,5,0.2140983896824445,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
0,7,2hop__367336_97805,selected_candidate,5,0.21365748653145888,1,3,count-matched diagnostic with fixed equal-pool selection; no principal utility claim
