family,predictor,bin,count,mean_probability,observed_success
musique,equal_pool,0,0,,
musique,equal_pool,1,0,,
musique,equal_pool,2,0,,
musique,equal_pool,3,34,0.3624836601307189,0.14705882352941177
musique,equal_pool,4,218,0.4652282364933741,0.38990825688073394
musique,equal_pool,5,578,0.546885351787697,0.4342560553633218
musique,equal_pool,6,132,0.63335,0.5227272727272727
musique,equal_pool,7,234,0.7590313390313391,0.6666666666666666
musique,equal_pool,8,4,0.8066666666666666,0.25
musique,equal_pool,9,0,,
musique,forecaster-0,0,0,,
musique,forecaster-0,1,0,,
musique,forecaster-0,2,46,0.2734782608695652,0.391304347826087
musique,forecaster-0,3,104,0.33249999999999996,0.3557692307692308
musique,forecaster-0,4,372,0.46236559139784944,0.4596774193548387
musique,forecaster-0,5,432,0.5160648148148148,0.4097222222222222
musique,forecaster-0,6,64,0.64125,0.75
musique,forecaster-0,7,182,0.7494505494505495,0.6373626373626373
musique,forecaster-0,8,0,,
musique,forecaster-0,9,0,,
musique,forecaster-1,0,0,,
musique,forecaster-1,1,18,0.15000000000000002,0.16666666666666666
musique,forecaster-1,2,18,0.26222222222222225,0.16666666666666666
musique,forecaster-1,3,56,0.35214285714285715,0.19642857142857142
musique,forecaster-1,4,76,0.44421052631578944,0.47368421052631576
musique,forecaster-1,5,154,0.5235064935064936,0.4155844155844156
musique,forecaster-1,6,234,0.6381196581196581,0.48717948717948717
musique,forecaster-1,7,452,0.7326991150442478,0.46238938053097345
musique,forecaster-1,8,184,0.8542391304347826,0.6739130434782609
musique,forecaster-1,9,8,0.915,0.375
musique,forecaster-2,0,0,,
musique,forecaster-2,1,0,,
musique,forecaster-2,2,0,,
musique,forecaster-2,3,0,,
musique,forecaster-2,4,306,0.47960522875795203,0.39215686274509803
musique,forecaster-2,5,594,0.514981818181706,0.4208754208754209
musique,forecaster-2,6,8,0.68,0.875
musique,forecaster-2,7,292,0.748972602739726,0.6506849315068494
musique,forecaster-2,8,0,,
musique,forecaster-2,9,0,,
