hops,policy,tasks,net_value,success,cost,forecast_cost,audit_cost,audits,abstentions,budget_violations
2,static,90,0.16324633333333335,0.6888888888888889,0.00897588888888889,0.0,0.0,0,0,0
2,equal,90,0.15242104888888888,0.6888888888888889,0.01980117333333333,0.010825284444444444,0.0,0,0,0
2,selected,90,0.15242104888888888,0.6888888888888889,0.01980117333333333,0.010825284444444444,0.0,0,0,0
2,calms,90,0.15233996,0.6888888888888889,0.01988226222222222,0.010825284444444444,8.10888888888889e-05,1,0,0
3,static,50,0.14450636,0.62,0.01049364,0.0,0.0,0,0,0
3,equal,50,0.1331271,0.62,0.0218729,0.01137926,0.0,0,0,0
3,selected,50,0.1331271,0.62,0.0218729,0.01137926,0.0,0,0,0
3,calms,50,0.13308045999999998,0.62,0.02191954,0.01137926,4.664e-05,1,0,0
4,static,10,0.1346772,0.6,0.015322800000000001,0.0,0.0,0,0,0
4,equal,10,0.1242385,0.6,0.0257615,0.0104387,0.0,0,0,0
4,selected,10,0.1242385,0.6,0.0257615,0.0104387,0.0,0,0,0
4,calms,10,0.1242385,0.6,0.0257615,0.0104387,0.0,0,0,0
