reward,policy,net_value,success,cost,forecast_cost,audit_cost,audits,abstentions,budget_violations
0.05,static,0.023511360000000002,0.6666666666666666,0.009821973333333333,0.0,0.0,0,0,0
0.05,explore,0.018489778666666668,0.44,0.0035102213333333336,0.0,0.0,0,0,0
0.05,equal,0.010824434666666669,0.5933333333333334,0.018842232,0.010984170666666666,0.0,0,0,0
0.05,selected,0.01075181866666667,0.5933333333333334,0.018914848,0.010984170666666666,0.0,0,0,0
0.05,calms,0.010803437333333336,0.5933333333333334,0.018863229333333335,0.010984170666666666,6.42e-05,2,0,0
0.1,static,0.05609506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.1,explore,0.04563777866666667,0.5066666666666667,0.0050288880000000005,0.0,0.0,0,0,0
0.1,equal,0.045110896000000004,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.1,selected,0.045110896000000004,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.1,calms,0.045046696000000004,0.66,0.020953304,0.010984170666666666,6.42e-05,2,0,0
0.25,static,0.15509506666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.25,explore,0.12162689066666668,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
0.25,equal,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.25,selected,0.144110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.25,calms,0.144046696,0.66,0.020953304,0.010984170666666666,6.42e-05,2,0,0
0.5,static,0.32009506666666665,0.66,0.009904933333333334,0.0,0.0,0,0,0
0.5,explore,0.24829355733333333,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
0.5,equal,0.309110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.5,selected,0.309110896,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
0.5,calms,0.309046696,0.66,0.020953304,0.010984170666666666,6.42e-05,2,0,0
1.0,static,0.6500950666666667,0.66,0.009904933333333334,0.0,0.0,0,0,0
1.0,explore,0.5016268906666667,0.5066666666666667,0.005039776,0.0,0.0,0,0,0
1.0,equal,0.6391108959999999,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
1.0,selected,0.6391108959999999,0.66,0.020889104,0.010984170666666666,0.0,0,0,0
1.0,calms,0.639046696,0.66,0.020953304,0.010984170666666666,6.42e-05,2,0,0
