family,predictor,bin,count,mean_probability,observed_success
AppWorld,equal_pool,0,0,,
AppWorld,equal_pool,1,0,,
AppWorld,equal_pool,2,0,,
AppWorld,equal_pool,3,0,,
AppWorld,equal_pool,4,0,,
AppWorld,equal_pool,5,0,,
AppWorld,equal_pool,6,64,0.6708333333333333,0.0
AppWorld,equal_pool,7,88,0.7347727272727272,0.125
AppWorld,equal_pool,8,0,,
AppWorld,equal_pool,9,0,,
AppWorld,forecaster-0,0,0,,
AppWorld,forecaster-0,1,0,,
AppWorld,forecaster-0,2,0,,
AppWorld,forecaster-0,3,0,,
AppWorld,forecaster-0,4,0,,
AppWorld,forecaster-0,5,0,,
AppWorld,forecaster-0,6,0,,
AppWorld,forecaster-0,7,12,0.7166666666666667,0.0
AppWorld,forecaster-0,8,72,0.8336111111111112,0.08333333333333333
AppWorld,forecaster-0,9,68,0.9197058823529412,0.07352941176470588
AppWorld,forecaster-1,0,0,,
AppWorld,forecaster-1,1,0,,
AppWorld,forecaster-1,2,0,,
AppWorld,forecaster-1,3,0,,
AppWorld,forecaster-1,4,0,,
AppWorld,forecaster-1,5,4,0.525,0.0
AppWorld,forecaster-1,6,20,0.68,0.0
AppWorld,forecaster-1,7,72,0.7427777777777778,0.0
AppWorld,forecaster-1,8,54,0.8266666666666667,0.2037037037037037
AppWorld,forecaster-1,9,2,0.9,0.0
AppWorld,forecaster-2,0,0,,
AppWorld,forecaster-2,1,0,,
AppWorld,forecaster-2,2,0,,
AppWorld,forecaster-2,3,0,,
AppWorld,forecaster-2,4,0,,
AppWorld,forecaster-2,5,152,0.5,0.07236842105263158
AppWorld,forecaster-2,6,0,,
AppWorld,forecaster-2,7,0,,
AppWorld,forecaster-2,8,0,,
AppWorld,forecaster-2,9,0,,
