budget,policy,rate,net_value,success,cost,audits
0.05,cheapest,0,0.214681194,0.86,0.00031880600000000004,0
0.05,premium,0,0.21016375,0.85,0.00233625,0
0.05,static,0,0.212265184,0.855,0.001484816,0
0.05,explore,0,0.213084922,0.855,0.000665078,0
0.05,equal,0,0.207981843,0.85,0.004518157,0
0.05,selected,0,0.207981843,0.85,0.004518157,0
0.05,calms,0,0.207981843,0.85,0.004518157,0
0.05,calms,0.005,0.212494157,0.86,0.002505843,1
0.05,calms,0.01,0.21247417500000002,0.86,0.0025258249999999998,5
0.05,calms,0.02,0.212468889,0.86,0.002531111,8
0.05,calms,0.05,0.212309078,0.86,0.002690922,25
0.05,calms,0.1,0.212045082,0.86,0.0029549180000000004,48
0.1,cheapest,0,0.214681194,0.86,0.00031880600000000004,0
0.1,premium,0,0.21016375,0.85,0.00233625,0
0.1,static,0,0.212265184,0.855,0.001484816,0
0.1,explore,0,0.213084922,0.855,0.000665078,0
0.1,equal,0,0.207981843,0.85,0.004518157,0
0.1,selected,0,0.207981843,0.85,0.004518157,0
0.1,calms,0,0.207981843,0.85,0.004518157,0
0.1,calms,0.005,0.20795673099999998,0.85,0.004543269,5
0.1,calms,0.01,0.20795144499999998,0.85,0.004548555,8
0.1,calms,0.02,0.20788868900000002,0.85,0.004611311,20
0.1,calms,0.05,0.20752763800000001,0.85,0.004972362,48
0.1,calms,0.1,0.207072834,0.85,0.005427166,108
0.2,cheapest,0,0.214681194,0.86,0.00031880600000000004,0
0.2,premium,0,0.21016375,0.85,0.00233625,0
0.2,static,0,0.212265184,0.855,0.001484816,0
0.2,explore,0,0.213084922,0.855,0.000665078,0
0.2,equal,0,0.207981843,0.85,0.004518157,0
0.2,selected,0,0.207981843,0.85,0.004518157,0
0.2,calms,0,0.207981843,0.85,0.004518157,0
0.2,calms,0.005,0.20795144499999998,0.85,0.004548555,8
0.2,calms,0.01,0.20788868900000002,0.85,0.004611311,20
0.2,calms,0.02,0.20759795400000003,0.85,0.004902046,39
0.2,calms,0.05,0.207072834,0.85,0.005427166,108
0.2,calms,0.1,0.206321623,0.85,0.0061783770000000005,200
0.5,cheapest,0,0.214681194,0.86,0.00031880600000000004,0
0.5,premium,0,0.21016375,0.85,0.00233625,0
0.5,static,0,0.212265184,0.855,0.001484816,0
0.5,explore,0,0.213084922,0.855,0.000665078,0
0.5,equal,0,0.207981843,0.85,0.004518157,0
0.5,selected,0,0.207981843,0.85,0.004518157,0
0.5,calms,0,0.207981843,0.85,0.004518157,0
0.5,calms,0.005,0.207791634,0.85,0.004708366,25
0.5,calms,0.01,0.20752763800000001,0.85,0.004972362,48
0.5,calms,0.02,0.207072834,0.85,0.005427166,108
0.5,calms,0.05,0.206321623,0.85,0.0061783770000000005,200
0.5,calms,0.1,0.206321623,0.85,0.0061783770000000005,200
