policy,rate,net_value,success,cost,audits
cheapest,0,0.205920885,0.825,0.000329115,0
premium,0,0.212938025,0.8625,0.0026869750000000003,0
static,0,0.21710812499999999,0.875,0.0016418749999999999,0
explore,0,0.1994959175,0.8,0.0005040825,0
equal,0,0.20063916,0.8125,0.00248584,0
selected,0,0.20063916,0.8125,0.00248584,0
calms,0,0.20063916,0.8125,0.00248584,0
calms,0.005,0.203657725,0.825,0.0025922750000000002,2
calms,0.01,0.20342454000000001,0.825,0.00282546,11
calms,0.02,0.200160045,0.8125,0.002964955,18
calms,0.05,0.1997090775,0.8125,0.0034159225000000002,42
calms,0.1,0.199080485,0.8125,0.004044515,80
