family,predictor,bin,count,mean_probability,observed_success
HumanEvalPlus,equal_pool,0,160,0.0370125,0.04375
HumanEvalPlus,equal_pool,1,0,,
HumanEvalPlus,equal_pool,2,0,,
HumanEvalPlus,equal_pool,3,0,,
HumanEvalPlus,equal_pool,4,0,,
HumanEvalPlus,equal_pool,5,0,,
HumanEvalPlus,equal_pool,6,0,,
HumanEvalPlus,equal_pool,7,0,,
HumanEvalPlus,equal_pool,8,480,0.841673611111111,0.9166666666666666
HumanEvalPlus,equal_pool,9,0,,
HumanEvalPlus,forecaster-0,0,160,0.0370375,0.04375
HumanEvalPlus,forecaster-0,1,0,,
HumanEvalPlus,forecaster-0,2,0,,
HumanEvalPlus,forecaster-0,3,0,,
HumanEvalPlus,forecaster-0,4,0,,
HumanEvalPlus,forecaster-0,5,0,,
HumanEvalPlus,forecaster-0,6,0,,
HumanEvalPlus,forecaster-0,7,0,,
HumanEvalPlus,forecaster-0,8,480,0.8416875,0.9166666666666666
HumanEvalPlus,forecaster-0,9,0,,
HumanEvalPlus,forecaster-1,0,160,0.037,0.04375
HumanEvalPlus,forecaster-1,1,0,,
HumanEvalPlus,forecaster-1,2,0,,
HumanEvalPlus,forecaster-1,3,0,,
HumanEvalPlus,forecaster-1,4,0,,
HumanEvalPlus,forecaster-1,5,0,,
HumanEvalPlus,forecaster-1,6,0,,
HumanEvalPlus,forecaster-1,7,0,,
HumanEvalPlus,forecaster-1,8,480,0.8416666666666667,0.9166666666666666
HumanEvalPlus,forecaster-1,9,0,,
HumanEvalPlus,forecaster-2,0,160,0.037,0.04375
HumanEvalPlus,forecaster-2,1,0,,
HumanEvalPlus,forecaster-2,2,0,,
HumanEvalPlus,forecaster-2,3,0,,
HumanEvalPlus,forecaster-2,4,0,,
HumanEvalPlus,forecaster-2,5,0,,
HumanEvalPlus,forecaster-2,6,0,,
HumanEvalPlus,forecaster-2,7,0,,
HumanEvalPlus,forecaster-2,8,480,0.8416666666666667,0.9166666666666666
HumanEvalPlus,forecaster-2,9,0,,
MbppPlus,equal_pool,0,240,0.037,0.004166666666666667
MbppPlus,equal_pool,1,0,,
MbppPlus,equal_pool,2,0,,
MbppPlus,equal_pool,3,0,,
MbppPlus,equal_pool,4,0,,
MbppPlus,equal_pool,5,0,,
MbppPlus,equal_pool,6,0,,
MbppPlus,equal_pool,7,0,,
MbppPlus,equal_pool,8,720,0.8416666666666667,0.8208333333333333
MbppPlus,equal_pool,9,0,,
MbppPlus,forecaster-0,0,240,0.037,0.004166666666666667
MbppPlus,forecaster-0,1,0,,
MbppPlus,forecaster-0,2,0,,
MbppPlus,forecaster-0,3,0,,
MbppPlus,forecaster-0,4,0,,
MbppPlus,forecaster-0,5,0,,
MbppPlus,forecaster-0,6,0,,
MbppPlus,forecaster-0,7,0,,
MbppPlus,forecaster-0,8,720,0.8416666666666667,0.8208333333333333
MbppPlus,forecaster-0,9,0,,
MbppPlus,forecaster-1,0,240,0.037,0.004166666666666667
MbppPlus,forecaster-1,1,0,,
MbppPlus,forecaster-1,2,0,,
MbppPlus,forecaster-1,3,0,,
MbppPlus,forecaster-1,4,0,,
MbppPlus,forecaster-1,5,0,,
MbppPlus,forecaster-1,6,0,,
MbppPlus,forecaster-1,7,0,,
MbppPlus,forecaster-1,8,720,0.8416666666666667,0.8208333333333333
MbppPlus,forecaster-1,9,0,,
MbppPlus,forecaster-2,0,240,0.037,0.004166666666666667
MbppPlus,forecaster-2,1,0,,
MbppPlus,forecaster-2,2,0,,
MbppPlus,forecaster-2,3,0,,
MbppPlus,forecaster-2,4,0,,
MbppPlus,forecaster-2,5,0,,
MbppPlus,forecaster-2,6,0,,
MbppPlus,forecaster-2,7,0,,
MbppPlus,forecaster-2,8,720,0.8416666666666667,0.8208333333333333
MbppPlus,forecaster-2,9,0,,
