arm,reference,paired_units,difference,ci95_low,ci95_high
calms|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,0.02169583333333334,0.012604166666666668,0.031437500000000014
calms|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,0.031508333333333347,0.02216875000000001,0.04141250000000001
calms|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,0.03693541666666668,0.026835416666666674,0.047229166666666676
calms|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,0.037993750000000014,0.02732500000000001,0.04887083333333334
calms|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,0.041122916666666676,0.030329166666666674,0.05144375000000001
calms|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
cheapest|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.07570833333333332,0.0695625,0.08216666666666667
coupled|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.06335,0.05434375000000001,0.07274791666666668
explore|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.06038958333333334,0.05133125000000001,0.06945208333333334
myopic|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,0.02169583333333334,0.012604166666666668,0.031437500000000014
myopic|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,0.031508333333333347,0.02216875000000001,0.04141250000000001
myopic|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,0.03693541666666668,0.026835416666666674,0.047229166666666676
myopic|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,0.037993750000000014,0.02732500000000001,0.04887083333333334
myopic|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,0.041122916666666676,0.030329166666666674,0.05144375000000001
myopic|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
premium|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.05570833333333333,0.049770833333333334,0.06164583333333332
selected|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.05736666666666668,0.04904791666666667,0.06578333333333335
static|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027
