arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.005|pool=exponential,2400,30,0.12515416666666665,0.11567291666666665,0.13552916666666667,0.03880416666666667,0.6558333333333334,0
calms|r=0.01|pool=exponential,2400,30,0.13496666666666668,0.12579791666666665,0.14417291666666668,0.037533333333333335,0.69,0
calms|r=0.02|pool=exponential,2400,30,0.14039374999999998,0.13108541666666668,0.14960625,0.03637708333333334,0.7070833333333333,0
calms|r=0.05|pool=exponential,2400,30,0.1414520833333333,0.13009791666666665,0.15238958333333336,0.03750625,0.7158333333333333,0
calms|r=0.1|pool=exponential,2400,30,0.14458125,0.1358125,0.15365625,0.041356250000000004,0.74375,0
calms|r=0|pool=exponential,2400,30,0.10345833333333333,0.09856249999999998,0.10814583333333333,0.043000000000000003,0.5858333333333333,0
cheapest|r=0|pool=exponential,2400,30,0.17916666666666667,0.17531249999999998,0.18291666666666667,0.015,0.7766666666666666,0
coupled|r=0|pool=exponential,2400,30,0.16680833333333334,0.16080833333333333,0.17317083333333333,0.05506666666666668,0.8875,0
equal|r=0|pool=exponential,2400,30,0.10345833333333333,0.09856249999999998,0.10814583333333333,0.043000000000000003,0.5858333333333333,0
explore|r=0|pool=exponential,2400,30,0.16384791666666665,0.15633125,0.17052708333333333,0.02375625,0.7504166666666666,0
myopic|r=0.005|pool=exponential,2400,30,0.12515416666666665,0.11567291666666665,0.13552916666666667,0.03880416666666667,0.6558333333333334,0
myopic|r=0.01|pool=exponential,2400,30,0.13496666666666668,0.12579791666666665,0.14417291666666668,0.037533333333333335,0.69,0
myopic|r=0.02|pool=exponential,2400,30,0.14039374999999998,0.13108541666666668,0.14960625,0.03637708333333334,0.7070833333333333,0
myopic|r=0.05|pool=exponential,2400,30,0.1414520833333333,0.13009791666666665,0.15238958333333336,0.03750625,0.7158333333333333,0
myopic|r=0.1|pool=exponential,2400,30,0.14458125,0.1358125,0.15365625,0.041356250000000004,0.74375,0
myopic|r=0|pool=exponential,2400,30,0.10345833333333333,0.09856249999999998,0.10814583333333333,0.043000000000000003,0.5858333333333333,0
premium|r=0|pool=exponential,2400,30,0.15916666666666665,0.1564583333333333,0.1617708333333333,0.07,0.9166666666666666,0
selected|r=0|pool=exponential,2400,30,0.160825,0.15447083333333333,0.16737083333333333,0.04782083333333334,0.8345833333333333,0
static|r=0|pool=exponential,2400,30,0.10645833333333332,0.10156249999999999,0.11114583333333332,0.04,0.5858333333333333,0
