policy,episodes,seeds,net_value_mean,normal_ci95_halfwidth,over_total_budget,max_total_spend,max_accounting_residual
calm_no_audit,2400,30,14.40459187355287,0.21201872911814998,0,2.1790000000000003,0.0
calm_s,2400,30,14.182465237594036,0.20063576462069102,461,2.6057500000000005,3.552713678800501e-15
cheapest,2400,30,5.3549988457786135,0.1762874914001288,0,0.8540000000000005,0.0
coupled_self_report,2400,30,12.044913401512838,0.21978172822320705,0,2.186,0.0
equal_pool,2400,30,14.426842677863018,0.20379993978687946,0,2.1790000000000003,0.0
oracle,2400,30,14.659908489429329,0.1756304032537168,0,2.1567500000000006,0.0
premium,2400,30,7.70583481709503,0.07530298856671933,0,2.0130000000000003,0.0
random,2400,30,6.701705350472448,0.15555786326440435,0,2.1922500000000005,0.0
reputation_market,2400,30,7.365586321114808,0.4161398057534773,0,1.8040000000000007,0.0
static_router,2400,30,12.850690728452358,0.1406851238514233,0,2.052000000000001,0.0
