arm,reference,paired_units,difference,ci95_low,ci95_high
calms|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,-0.01022291666666666,-0.01567916666666666,-0.00527291666666666
calms|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,-0.01303124999999999,-0.018364583333333327,-0.007927083333333326
calms|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,-0.018418749999999987,-0.025924999999999986,-0.01190208333333332
calms|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,-0.025916666666666654,-0.03342499999999999,-0.019116666666666653
calms|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,-0.030818749999999992,-0.03766874999999999,-0.024381249999999986
calms|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
cheapest|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.03710416666666667,-0.042624999999999996,-0.03147916666666666
coupled|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.002172916666666656,-0.008652083333333326,0.004327083333333346
explore|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.008345833333333321,-0.014587499999999991,-0.002710416666666651
myopic|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,-0.01022291666666666,-0.01567916666666666,-0.00527291666666666
myopic|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,-0.01303124999999999,-0.018364583333333327,-0.007927083333333326
myopic|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,-0.018418749999999987,-0.025924999999999986,-0.01190208333333332
myopic|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,-0.025916666666666654,-0.03342499999999999,-0.019116666666666653
myopic|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,-0.030818749999999992,-0.03766874999999999,-0.024381249999999986
myopic|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
premium|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.0033541666666666702,-0.008666666666666671,0.0017499999999999979
selected|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.0027020833333333207,-0.007847916666666658,0.002104166666666681
static|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027
