arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.005|pool=exponential,2400,30,0.15354791666666667,0.14724166666666666,0.15977499999999997,0.03832708333333333,0.7675,0
calms|r=0.01|pool=exponential,2400,30,0.15073958333333334,0.14403124999999997,0.15712916666666665,0.03738541666666667,0.7525,0
calms|r=0.02|pool=exponential,2400,30,0.14535208333333335,0.1368875,0.15312083333333334,0.03714791666666667,0.73,0
calms|r=0.05|pool=exponential,2400,30,0.13785416666666667,0.13039166666666666,0.14511041666666666,0.03922916666666667,0.7083333333333334,0
calms|r=0.1|pool=exponential,2400,30,0.13295208333333333,0.12555208333333334,0.13956458333333333,0.043818750000000004,0.7070833333333333,0
calms|r=0|pool=exponential,2400,30,0.1637708333333333,0.16022916666666667,0.16741666666666666,0.043000000000000003,0.8270833333333333,0
cheapest|r=0|pool=exponential,2400,30,0.12666666666666665,0.12218749999999998,0.13093749999999998,0.015,0.5666666666666667,0
coupled|r=0|pool=exponential,2400,30,0.16159791666666665,0.15753541666666665,0.16586458333333332,0.05933958333333334,0.88375,0
equal|r=0|pool=exponential,2400,30,0.1637708333333333,0.16022916666666667,0.16741666666666666,0.043000000000000003,0.8270833333333333,0
explore|r=0|pool=exponential,2400,30,0.155425,0.14858125,0.1613375,0.025408333333333335,0.7233333333333334,0
myopic|r=0.005|pool=exponential,2400,30,0.15354791666666667,0.14724166666666666,0.15977499999999997,0.03832708333333333,0.7675,0
myopic|r=0.01|pool=exponential,2400,30,0.15073958333333334,0.14403124999999997,0.15712916666666665,0.03738541666666667,0.7525,0
myopic|r=0.02|pool=exponential,2400,30,0.14535208333333335,0.1368875,0.15312083333333334,0.03714791666666667,0.73,0
myopic|r=0.05|pool=exponential,2400,30,0.13785416666666667,0.13039166666666666,0.14511041666666666,0.03922916666666667,0.7083333333333334,0
myopic|r=0.1|pool=exponential,2400,30,0.13295208333333333,0.12555208333333334,0.13956458333333333,0.043818750000000004,0.7070833333333333,0
myopic|r=0|pool=exponential,2400,30,0.1637708333333333,0.16022916666666667,0.16741666666666666,0.043000000000000003,0.8270833333333333,0
premium|r=0|pool=exponential,2400,30,0.16041666666666662,0.1577083333333333,0.1630208333333333,0.07,0.9216666666666666,0
selected|r=0|pool=exponential,2400,30,0.16106875,0.15675,0.16565833333333332,0.05059791666666667,0.8466666666666667,0
static|r=0|pool=exponential,2400,30,0.16677083333333334,0.16322916666666665,0.17041666666666666,0.04,0.8270833333333333,0
