arm,reference,paired_units,difference,ci95_low,ci95_high
calms|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,-0.006481249999999994,-0.009549999999999993,-0.003591666666666659
calms|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,-0.008231249999999989,-0.011749999999999986,-0.004910416666666657
calms|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,-0.013387499999999984,-0.019381249999999985,-0.008487499999999981
calms|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,-0.021964583333333322,-0.028060416666666654,-0.016468749999999987
calms|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,-0.027629166666666653,-0.03340208333333332,-0.022349999999999984
calms|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
cheapest|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.025749999999999995,-0.03168749999999999,-0.019604166666666662
coupled|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.004239583333333322,-0.011214583333333325,0.002931250000000011
explore|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.0064812499999999905,-0.01208124999999999,-0.0010333333333333232
myopic|r=0.005|pool=exponential,equal|r=0|pool=exponential,30,-0.006481249999999994,-0.009549999999999993,-0.003591666666666659
myopic|r=0.01|pool=exponential,equal|r=0|pool=exponential,30,-0.008231249999999989,-0.011749999999999986,-0.004910416666666657
myopic|r=0.02|pool=exponential,equal|r=0|pool=exponential,30,-0.013387499999999984,-0.019381249999999985,-0.008487499999999981
myopic|r=0.05|pool=exponential,equal|r=0|pool=exponential,30,-0.021964583333333322,-0.028060416666666654,-0.016468749999999987
myopic|r=0.1|pool=exponential,equal|r=0|pool=exponential,30,-0.027629166666666653,-0.03340208333333332,-0.022349999999999984
myopic|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0,0.0,0.0
premium|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.006375,-0.011687499999999997,-0.0012708333333333313
selected|r=0|pool=exponential,equal|r=0|pool=exponential,30,-0.0026249999999999867,-0.008095833333333323,0.002839583333333347
static|r=0|pool=exponential,equal|r=0|pool=exponential,30,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027
