mechanism,p,threshold,bonus,audit_pi,side_interest,strategy,report,expected_payoff,deviation_gain,audit_score_variance
coupled_winner,0.1,0.3,0,0.01,0,truthful,0.1,0.0,0.0,87.7419
coupled_winner,0.1,0.3,0,0.01,0,inflated,0.25,0.0,0.0,80.22796875
coupled_winner,0.1,0.3,0,0.01,0,deflated,0,0.0,0.0,89.19
coupled_winner,0.1,0.3,0,0.01,0,threshold,0.3,0.87,0.87,76.37310000000001
coupled_winner,0.1,0.3,0,0.01,0,best_grid,0.3,0.87,0.87,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,0,truthful,0.1,0.9099999999999999,0.0,87.7419
coupled_audit,0.1,0.3,0,0.01,0,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
coupled_audit,0.1,0.3,0,0.01,0,deflated,0,0.9,-0.009999999999999898,89.19
coupled_audit,0.1,0.3,0,0.01,0,threshold,0.3,0.87,-0.039999999999999925,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,0,best_grid,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,0,truthful,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,0,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
separated_audit,0.1,0.3,0,0.01,0,deflated,0,0.9,-0.009999999999999898,89.19
separated_audit,0.1,0.3,0,0.01,0,threshold,0.3,0.87,-0.039999999999999925,76.37310000000001
separated_audit,0.1,0.3,0,0.01,0,best_grid,0.1,0.9099999999999999,0.0,87.7419
coupled_winner,0.1,0.3,0,0.01,0.25,truthful,0.1,0.0,0.0,87.7419
coupled_winner,0.1,0.3,0,0.01,0.25,inflated,0.25,0.0,0.0,80.22796875
coupled_winner,0.1,0.3,0,0.01,0.25,deflated,0,0.0,0.0,89.19
coupled_winner,0.1,0.3,0,0.01,0.25,threshold,0.3,0.87,0.87,76.37310000000001
coupled_winner,0.1,0.3,0,0.01,0.25,best_grid,0.3,0.87,0.87,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,0.25,truthful,0.1,0.9099999999999999,0.0,87.7419
coupled_audit,0.1,0.3,0,0.01,0.25,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
coupled_audit,0.1,0.3,0,0.01,0.25,deflated,0,0.9,-0.009999999999999898,89.19
coupled_audit,0.1,0.3,0,0.01,0.25,threshold,0.3,0.87,-0.039999999999999925,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,0.25,best_grid,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,0.25,truthful,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,0.25,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
separated_audit,0.1,0.3,0,0.01,0.25,deflated,0,0.9,-0.009999999999999898,89.19
separated_audit,0.1,0.3,0,0.01,0.25,threshold,0.3,1.12,0.2100000000000002,76.37310000000001
separated_audit,0.1,0.3,0,0.01,0.25,best_grid,0.3,1.12,0.2100000000000002,76.37310000000001
coupled_winner,0.1,0.3,0,0.01,1,truthful,0.1,0.0,0.0,87.7419
coupled_winner,0.1,0.3,0,0.01,1,inflated,0.25,0.0,0.0,80.22796875
coupled_winner,0.1,0.3,0,0.01,1,deflated,0,0.0,0.0,89.19
coupled_winner,0.1,0.3,0,0.01,1,threshold,0.3,0.87,0.87,76.37310000000001
coupled_winner,0.1,0.3,0,0.01,1,best_grid,0.3,0.87,0.87,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,1,truthful,0.1,0.9099999999999999,0.0,87.7419
coupled_audit,0.1,0.3,0,0.01,1,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
coupled_audit,0.1,0.3,0,0.01,1,deflated,0,0.9,-0.009999999999999898,89.19
coupled_audit,0.1,0.3,0,0.01,1,threshold,0.3,0.87,-0.039999999999999925,76.37310000000001
coupled_audit,0.1,0.3,0,0.01,1,best_grid,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,1,truthful,0.1,0.9099999999999999,0.0,87.7419
separated_audit,0.1,0.3,0,0.01,1,inflated,0.25,0.8875,-0.022499999999999964,80.22796875
separated_audit,0.1,0.3,0,0.01,1,deflated,0,0.9,-0.009999999999999898,89.19
separated_audit,0.1,0.3,0,0.01,1,threshold,0.3,1.87,0.9600000000000002,76.37310000000001
separated_audit,0.1,0.3,0,0.01,1,best_grid,0.3,1.87,0.9600000000000002,76.37310000000001
coupled_winner,0.1,0.3,0,0.01,4,truthful,0.1,0.0,0.0,87.7419
coupled_winner,0.1,0.3,0,0.01,4,inflated,0.25,0.0,0.0,80.22796875
coupled_winner,0.1,0.3,0,0.01,4,deflated,0,0.0,0.0,89.19
coupled_winner,0.1,0.3,0,0.01,4,threshold,0.3,0.87,0.87,76.37310000000001
