family,predictor,bin,count,mean_probability,observed_success
musique,equal_pool,0,0,,
musique,equal_pool,1,0,,
musique,equal_pool,2,0,,
musique,equal_pool,3,0,,
musique,equal_pool,4,20,0.45633333333333337,0.25
musique,equal_pool,5,22,0.5503030303030303,0.4090909090909091
musique,equal_pool,6,84,0.6591269841269841,0.3333333333333333
musique,equal_pool,7,106,0.7367924528301886,0.5471698113207547
musique,equal_pool,8,4,0.8466666666666667,1.0
musique,equal_pool,9,4,0.935,0.5
musique,forecaster-0,0,0,,
musique,forecaster-0,1,0,,
musique,forecaster-0,2,0,,
musique,forecaster-0,3,0,,
musique,forecaster-0,4,0,,
musique,forecaster-0,5,0,,
musique,forecaster-0,6,58,0.6241379310344828,0.29310344827586204
musique,forecaster-0,7,90,0.7233333333333333,0.36666666666666664
musique,forecaster-0,8,62,0.832258064516129,0.532258064516129
musique,forecaster-0,9,30,0.9,0.7666666666666667
musique,forecaster-1,0,0,,
musique,forecaster-1,1,12,0.16,0.3333333333333333
musique,forecaster-1,2,16,0.2475,0.3125
musique,forecaster-1,3,10,0.362,0.5
musique,forecaster-1,4,4,0.435,0.5
musique,forecaster-1,5,2,0.5,0.0
musique,forecaster-1,6,0,,
musique,forecaster-1,7,42,0.7585714285714286,0.3333333333333333
musique,forecaster-1,8,78,0.85,0.47435897435897434
musique,forecaster-1,9,76,0.936578947368421,0.5131578947368421
musique,forecaster-2,0,0,,
musique,forecaster-2,1,0,,
musique,forecaster-2,2,0,,
musique,forecaster-2,3,0,,
musique,forecaster-2,4,0,,
musique,forecaster-2,5,232,0.5,0.43103448275862066
musique,forecaster-2,6,0,,
musique,forecaster-2,7,0,,
musique,forecaster-2,8,0,,
musique,forecaster-2,9,8,1.0,0.75
