distribution,rate,clip,forecaster,target,exact_bias,exact_variance,exact_rmse,mc_bias,mc_rmse,p50,p95,p99,mean_ess,max_weight,top_forecaster_recovery
"[1, 1, 1, 1]",0.005,,0,0.7536951666666667,0.0,0.12473108717460085,0.3531728856730098,0.012089191750033312,0.3431641807748951,0.7385248297,1.3600704225,1.7000986888,4.585420673291365,183.33419999999998,0.229
"[1, 1, 1, 1]",0.005,,1,0.7241116666666666,0.0,0.12210916369609735,0.3494412163670699,0.012560504940033357,0.3377650710852687,0.7114167349999999,1.3264810324,1.6596730415,4.585420673291365,183.33419999999998,0.229
"[1, 1, 1, 1]",0.005,,2,0.7543553551776685,0.0,0.12481361140771377,0.3532896989833043,0.012497703342519428,0.34291880783607487,0.739289211425,1.3658363633,1.6703482851,4.585420673291365,183.33419999999998,0.229
"[1, 1, 1, 1]",0.005,10,0,0.7536951666666667,-0.6963124676360425,0.0007153285677472304,0.6968259331806919,-0.6954355483333333,0.6959175815861922,0.05623666666666667,0.10385666666666667,0.12908333333333333,4.622,10,0.224
"[1, 1, 1, 1]",0.005,10,1,0.7241116666666666,-0.6689992746217704,0.0006996945685136079,0.6695220115970562,-0.6680902783333332,0.6685761332418174,0.05432,0.10070166666666666,0.123185,4.622,10,0.224
"[1, 1, 1, 1]",0.005,10,2,0.7543553551776685,-0.6969102245649331,0.000716101396738552,0.6974238040817679,-0.696008024531753,0.6964891166039127,0.05609666666666667,0.10356,0.12825201849999998,4.622,10,0.224
"[1, 1, 1, 1]",0.005,50,0,0.7536951666666667,-0.46678167151354566,0.017883214193680757,0.4855598243828049,-0.46239707500000005,0.48018539840963165,0.28118333333333334,0.5192833333333333,0.6454166666666666,4.622,50,0.225
"[1, 1, 1, 1]",0.005,50,1,0.7241116666666666,-0.44854970644218595,0.017492364212840197,0.4676421744905087,-0.44400472499999993,0.46192623247556464,0.2716,0.5035083333333333,0.615925,4.622,50,0.225
"[1, 1, 1, 1]",0.005,50,2,0.7543553551776685,-0.4671297021139914,0.017902534918463796,0.485914286181802,-0.4626187019480912,0.48037906570724803,0.28048333333333336,0.5178,0.6412600925,4.622,50,0.225
"[1, 1, 1, 1]",0.005,100,0,0.7536951666666667,-0.17986817636042463,0.07153285677472303,0.3223126085680606,-0.1710989833333334,0.31039122024751997,0.5623666666666667,1.0385666666666666,1.2908333333333333,4.622,100,0.225
"[1, 1, 1, 1]",0.005,100,1,0.7241116666666666,-0.1729877462177053,0.06996945685136079,0.31606046445710667,-0.16389778333333327,0.3029935264796189,0.5432,1.0070166666666667,1.23185,4.622,100,0.225
"[1, 1, 1, 1]",0.005,100,2,0.7543553551776685,-0.17990404905031432,0.07161013967385518,0.3224524872575076,-0.17088204871851387,0.31014933191087696,0.5609666666666667,1.0356,1.282520185,4.622,100,0.225
