arm,tasks,streams,success,cost,net_value,ci95_low,ci95_high,full_brier,audits,budget_violations
contextual-epsilon=0.05-audit=0,150,10,0.6533333333333333,0.009624467999999999,0.15370886533333333,0.1321773333333333,0.17375051733333333,0.24580398975918857,0,0
contextual-epsilon=0.05-audit=0.005,150,10,0.6533333333333333,0.009688668,0.15364466533333332,0.13209758666666666,0.17375051733333333,0.24584695439148108,2,0
contextual-epsilon=0.05-audit=0.02,150,10,0.6533333333333333,0.010073465333333333,0.153259868,0.13176771733333334,0.17332311866666666,0.2455241054045771,20,0
contextual-epsilon=0.05-audit=0.1,150,10,0.6533333333333333,0.012317041333333334,0.151016292,0.129372668,0.17101144666666665,0.2454528097101947,96,0
equal-same-audits-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.24697558485682375,2,0
exponential-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.24789804973808302,2,0
bayesian-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.2509164611723536,2,0
stacking-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.2471015753071265,2,0
no-ips-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.24698167264227616,2,0
delay3-audit=0.005,150,10,0.66,0.020946170666666666,0.14405382933333333,0.12414177333333334,0.163866004,0.24818260681904794,2,0
one-forecaster-0-audit=0.005,150,10,0.66,0.011192090666666666,0.15380790933333333,0.13388822133333333,0.173613216,0.24630483333333336,2,0
one-forecaster-1-audit=0.005,150,10,0.66,0.013562266666666666,0.15143773333333332,0.13151583333333333,0.17125408666666667,0.27588833333333335,2,0
one-forecaster-2-audit=0.005,150,10,0.66,0.016115813333333333,0.14888418666666667,0.12896061333333333,0.16870561333333334,0.24564464482233148,2,0
equal-same-audits-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.24697558485682375,14,0
exponential-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.2487135159692332,14,0
bayesian-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.25251091061183134,14,0
stacking-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.2469731857003176,14,0
no-ips-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.2470157699794748,14,0
delay3-audit=0.02,150,10,0.66,0.021329437333333333,0.14367056266666667,0.12375736133333333,0.16348013466666667,0.2481454336121251,14,0
one-forecaster-0-audit=0.02,150,10,0.66,0.011575357333333335,0.15342464266666667,0.13352607466666666,0.17325085066666668,0.24630483333333336,14,0
one-forecaster-1-audit=0.02,150,10,0.66,0.013945533333333333,0.15105446666666666,0.13115368666666666,0.17087068,0.27588833333333335,14,0
one-forecaster-2-audit=0.02,150,10,0.66,0.01649908,0.14850091999999998,0.128594,0.16832752,0.24564464482233148,14,0
equal-same-audits-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.24697558485682375,79,0
exponential-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.25089393491708756,79,0
bayesian-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.25674149975293775,79,0
stacking-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.24727096072309224,79,0
no-ips-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.24712399770848184,79,0
delay3-audit=0.1,150,10,0.66,0.024157624,0.140842376,0.12103877199999999,0.16040439733333334,0.2493296075050895,79,0
one-forecaster-0-audit=0.1,150,10,0.66,0.014403544,0.15059645600000002,0.13081208933333333,0.17015113866666667,0.24630483333333336,79,0
one-forecaster-1-audit=0.1,150,10,0.66,0.016773720000000002,0.14822628,0.12843970133333332,0.167770968,0.27588833333333335,79,0
one-forecaster-2-audit=0.1,150,10,0.66,0.01932726666666667,0.14567273333333333,0.12588001466666668,0.16525667066666666,0.24564464482233148,79,0
