policy,net_value_mean,net_value_ci95,pseudo_regret_mean,pseudo_regret_ci95,selected_brier_mean,selected_brier_ci95,completed_projects_mean,completed_projects_ci95,audit_cost_mean,audit_cost_ci95
calm_no_audit,14.40459187355287,0.21201872911814998,0.30886574361709473,0.017832711116700196,0.137604274684464,0.00227493687059788,4.5600000000000005,0.06054359310997875,0.0,0.0
calm_s,14.182465237594036,0.20063576462069102,0.5379021730827428,0.033936141615426435,0.13767665529520198,0.002284260316681289,4.553333333333333,0.05722215697649076,0.19700802083333332,0.004562563690787868
cheapest,5.3549988457786135,0.1762874914001288,9.387396553970273,0.01748912768757356,0.2315339109484896,0.001117955322721158,1.6954166666666666,0.04856841059436509,0.0,0.0
coupled_self_report,12.044913401512838,0.21978172822320705,2.8438149796544754,0.006681587087088405,0.20670421728809263,0.0037972924651202226,3.834166666666667,0.06062938067279166,0.0,0.0
equal_pool,14.426842677863018,0.20379993978687946,0.304615809024839,0.014903899841761048,0.1373770278651551,0.0022310184316844187,4.566666666666666,0.05860882075022324,0.0,0.0
oracle,14.659908489429329,0.1756304032537168,0.0,0.0,0.13439520751437958,0.001988257675441898,4.630416666666666,0.05142764520732872,0.0,0.0
premium,7.70583481709503,0.07530298856671933,6.778014405555516,0.01676234883307161,0.07567441917989418,0.0028604217941629127,2.3991666666666664,0.020680241185221396,0.0,0.0
random,6.701705350472448,0.15555786326440435,8.310351345470552,0.038867443863268424,0.25,0.0,2.3429166666666665,0.041873582894761265,0.0,0.0
reputation_market,7.365586321114808,0.4161398057534773,7.519694336726962,0.41008461673296825,0.2223487658241387,0.005053456877392024,2.4004166666666666,0.12637276888063895,0.0,0.0
static_router,12.850690728452358,0.1406851238514233,1.9405970618386903,0.006201193180756565,0.18145866160482393,0.002438281173709005,4.127916666666667,0.040754688633258734,0.0,0.0
